ID	name	C	H	O	N	P	cas	experimental_enthalpy
546	_4-Pentenoic-acid-ethyl-ester	7	12	2	0	0	1968-40-7	-92.1
547	_2-Methoxy-1-3-dioxolane	4	8	3	0	0	19693-75-5	-115.5
548	_2-2-Dimethyladamantane	12	20	0	0	0	19740-34-2	-43.7
549	Decanenitrile	10	19	0	1	0	1975-78-6	-21.9
550	n-Butyl-3-pentenoate	9	16	2	0	0	19825-93-5	-103.5
551	Perylene	20	12	0	0	0	198-55-0	76.08
552	Bicyclo-3-1-1-heptan-3-ol--2-6-6-trimethyl----1r--1--945--2--945--3--946--5--945----	10	18	1	0	0	19889-94-2	-45
553	cis-Bicyclo-3-3-0--octan-2-one	8	12	1	0	0	19915-11-8	-55
554	_5-Amino-3-4-dimethyl-isoxazole	5	8	1	2	0	19947-75-2	1.24
555	_2-6-6-Trimethyl-2-cyclohexen-1-one	9	14	1	0	0	20013-73-4	-55.6
556	_3-Penten-1-yne---E--	5	6	0	0	0	2004-69-5	61.9
557	_1-3-Pentadiene---E--	5	8	0	0	0	2004-70-8	18.11
558	Benzene--1-1---1-2-ethenediyl-bis-2-4-6-trinitro-	14	6	12	6	0	20062-22-0	56.98
559	_3-Nonyne	9	16	0	0	0	20184-89-8	10.03
560	_4-Nonyne	9	16	0	0	0	20184-91-2	10.03
561	c_-E--1-3-Hexadiene	6	10	0	0	0	20237-34-7	13
562	_1-3-Dioxane--2-2-4-6-tetramethyl---trans-	8	16	2	0	0	20268-00-2	-115.8
563	_2H-Inden-2-one--octahydro-3a-methyl---trans-	10	16	1	0	0	20379-99-1	-65.77
564	Ethanone--1--2-4-5-trimethylphenyl--	11	14	1	0	0	2040-07-5	-45.2
565	c_-18--Annulene	18	18	0	0	0	2040-73-5	67
566	Cyclopentane--butyl-	9	18	0	0	0	2040-95-1	-40.22
567	Cyclopentane--propyl-	8	16	0	0	0	2040-96-2	-35.28
568	_1-4-Dimethyl-bicyclo-2-2-1-heptane	9	16	0	0	0	20454-81-3	-30.63
569	Bicyclo-6-2-0-decapentaene	10	8	0	0	0	20455-01-0	122.9
570	Butyric-acid--neopentyl-ester	9	18	2	0	0	2050-00-2	-137.2
571	_9-9--Biphenanthryl	28	18	0	0	0	20532-03-0	87
572	Methanimine	1	3	0	1	0	2053-29-4	16
573	Fluoranthene	16	10	0	0	0	206-44-0	69.65
574	_2-2-Dimethylpentanenitrile	7	13	0	1	0	20654-47-1	-10.94
575	Benzoyl-cyclohexyloxy--carbonylperoxide	14	16	5	0	0	20666-86-8	-154.2
576	_3-3-Dimethyl-2-pentanone	7	14	1	0	0	20669-04-9	-72.6
577	_5-Methylene-1-3-cyclohexadiene	7	8	0	0	0	20679-59-8	46.99
578	Benzo-k-fluoranthene	20	12	0	0	0	207-08-9	73.2
579	_2-2-Dimethylheptane-3-5-dione	9	16	2	0	0	20734-29-6	-112.5
580	c_-E--4--p-Nitroanilino--3-penten-2-one	11	12	3	2	0	20771-72-6	-23.6
581	Phenol--2-6-bis-1-methylethyl--	12	18	1	0	0	2078-54-8	-60.73
582	_1-1-Ethanediol--2-phenyl---diacetate	12	14	4	0	0	20803-88-7	-167.3
583	_1-Butanamine--N--2-methylpropyl--	8	19	0	1	0	20810-06-4	-41.8
584	Benzobicyclo-2-2-0-hexa-2-5-diene	10	8	0	0	0	20847-82-9	95.4
585	Acenaphthylene	12	8	0	0	0	208-96-8	62.91
586	Cyclopentane-1-2-bis-methylene--	7	10	0	0	0	20968-70-1	22.5
587	Bicyclo-2-2-2-oct-2-ene--5-ethenyl----1--945--4--945--5--946---	10	14	0	0	0	21145-78-8	25.6
588	Bicyclo-2-2-2-oct-2-ene--5-ethenyl----1--945--4--945--5--945---	10	14	0	0	0	21145-79-9	25.2
589	_4-Oxatricyclo-5-1-0-0-3-5---octane--3-8-8-trimethyl----1--945--3--946--5--946--7--945---	10	16	1	0	0	21218-11-1	-25.6
590	_2-4-Hexadiene--3-4-dimethyl----Z-Z--	8	14	0	0	0	21293-01-6	-0.92
591	_3-Isopropylcatechol	9	12	2	0	0	2138-48-9	-83.65
592	But-2-en-2-ol---E--	4	8	1	0	0	21451-76-3	-51.1
593	Ethylidenecyclopentane	7	12	0	0	0	2146-37-4	-4.78
594	Cyclopentene--1-ethyl-	7	12	0	0	0	2146-38-5	-5.98
595	Benzo-b-triphenylene	22	14	0	0	0	215-58-7	79
596	_1-1-4-Trimethylcycloheptane	10	20	0	0	0	2158-55-6	-50.26
597	Di-n-butyldiazene	8	18	0	2	0	2159-75-3	4.61
598	_1-3-Cyclopentadiene--5--1-methylethylidene--	8	10	0	0	0	2175-91-9	34.3
599	Triphenylene	18	12	0	0	0	217-59-4	64.6
600	Chrysene	18	12	0	0	0	218-01-9	64.2
601	_2-Butene--1-1-dimethoxy-	6	12	2	0	0	21962-24-3	-72.4
602	_2-Ethoxy-4-4-5-5-tetramethyl-1-3-dioxolane	9	18	3	0	0	2203-73-8	-162.4
603	Tetramethylene-furoxan	6	8	2	2	0	2209-36-1	22.78
604	_3-Benzylphenol	13	12	1	0	0	22272-48-6	11.68
605	_2-Methyl-3-5-diisopropylphenol	13	20	1	0	0	22292-76-8	-61.9
606	_1s-2r-5r-3-Pinanone	10	16	1	0	0	22339-21-5	-36.5
607	_8-Oxatricyclo-3-2-1-0-1-5--octane	7	10	1	0	0	22341-17-9	6.4
608	Pentamethylbenzoic-acid	12	16	2	0	0	2243-32-5	-101.1
609	Undecanenitrile	11	21	0	1	0	2244-07-7	-27.1
610	_2-3-Diazabicyclo-2-2-1-hept-2-ene-2-oxide	5	8	1	2	0	22509-00-8	30.55
611	Bicyclo-3-2-0-hept-1-ene	7	10	0	0	0	22630-75-7	40
612	_3--cis-Ethylidene--1-cyclopentene	7	10	0	0	0	22704-38-7	20.2
613	_1-Piperidineacetonitrile----945----945--dimethyl-	9	16	0	2	0	2273-41-8	5.74
614	_2-Isopropyl-6-tert-butylphenol	13	20	1	0	0	22791-95-3	-57.5
615	_4-Pentenoic-acid-butyl-ester	9	16	2	0	0	22874-80-2	-102.1
616	Benzene--1-1--1---1-----1-ethanyl-2-ylidyne-tetrakis-	26	22	0	0	0	2294-94-2	87.3
617	Phenanthridine	13	9	0	1	0	229-87-8	57.5
618	Benzo-c-cinnoline	12	8	0	2	0	230-17-1	89.9
619	Benzo-h-quinoline	13	9	0	1	0	230-27-3	59.85
620	Bicyclo-4-2-1-non-1-8--ene	9	14	0	0	0	23057-35-4	11.9
621	Bicyclo-4-2-1-non-1-2--ene	9	14	0	0	0	23057-36-5	17.6
622	Tricyclo-3-3-1-13-7-decane-1-carbonitrile	11	15	0	1	0	23074-42-2	-5.02
623	But-2-en-2-ol---Z--	4	8	1	0	0	23169-87-1	-50.7
624	c_-2-2-Metacyclophane	16	16	0	0	0	2319-97-3	40.7
625	Pentanoic-acid-1-methylpropyl-ester	9	18	2	0	0	23361-74-2	-137
626	_2-5-Dimethyl-2-hydroperoxide-5-tert-butylperoxyhexane	12	26	4	0	0	23661-84-9	-134.3
627	Quinoxaline--2-3-dimethyl-	10	10	0	2	0	2379-55-7	41.32
628	_2-Decyne	10	18	0	0	0	2384-70-5	5.63
629	_3-Decyne	10	18	0	0	0	2384-85-2	5.22
630	_4-Decyne	10	18	0	0	0	2384-86-3	4.75
631	Exo-5-vinylbicyclo-2-2-1-hept-2-ene	9	12	0	0	0	23890-32-6	37.6
632	_3-Pyridinecarboxylic-acid--1-oxide	6	5	3	1	0	2398-81-4	-53.8
633	Bicyclo-3-1-1-heptan-3-ol--2-6-6-trimethyl----1s--1--945--2--946--3--945--5--945----	10	18	1	0	0	24041-60-9	-43.6
634	_2-3-4-6-Tetramethylbenzoic-acid	11	14	2	0	0	2408-38-0	-95.15
635	Phenol--2--1-1-dimethylethyl--4-methyl-	11	16	1	0	0	2409-55-4	-52
636	c_-1-1--Biphenyl--2-ol--3--1-1-dimethylethyl--	16	18	1	0	0	2416-98-0	-13.63
637	_2-4-Hexadiene--3-4-dimethyl----E-Z--	8	14	0	0	0	2417-88-1	0.74
638	Bicyclo-3-2-0-hepta-2-6-diene	7	8	0	0	0	2422-86-8	63.2
639	Quindoxin	8	6	2	2	0	2423-66-7	54.28
640	Pyrazine--1-4-dioxide	4	4	2	2	0	2423-84-9	36.3
641	Oxirane---butoxymethyl--	7	14	2	0	0	2426-08-6	-69.72
642	_2-3-5-6-Dibenzoxalene	16	10	1	0	0	243-24-3	47.7
643	Methanetetracarbonitrile	5	0	0	4	0	24331-09-7	160.8
644	N-N-Dimethyl-tert-butylcarboxamide	7	15	1	1	0	24331-71-3	-68.38
645	_2-3-5-Trimethylbenzoic-acid	10	12	2	0	0	2437-66-3	-91.35
646	Benzoic-acid--2--1-methylethyl--	10	12	2	0	0	2438-04-2	-85.85
647	_1-Methylbicyclo-4-1-0--heptane	8	14	0	0	0	2439-79-4	-4.97
648	Ethyl-trans-2-pentenoate	7	12	2	0	0	24410-84-2	-94.2
649	Bicyclo-4-4-1-undeca-1-3-5-7-9-pentaene	11	10	0	0	0	2443-46-1	77.1
650	_2-4-Cyclohexadienone	6	6	1	0	0	24599-57-3	-17
651	Glycidyl-butyrate	7	12	3	0	0	2461-40-7	-119.9
653	Propane--1-1-1-trimethoxy-	6	14	3	0	0	24823-81-2	-141.4
654	_7H-Benzocyclohepten-7-one-6-8-dimethyl-	13	12	1	0	0	2484-16-4	-0.6
655	Carbonic-acid-cyclohexylmethyl-ester	8	14	3	0	0	25066-36-8	-158.5
656	_1-1-Dimethoxyethane	4	10	2	0	0	25154-53-4	-93.15
657	Cyclobutylamine	4	9	0	1	0	2516-34-9	9.8
658	Dimethylfurazan-monoxide	4	6	2	2	0	2518-42-5	24.4
659	_9H-Fluorene--9-methyl-	14	12	0	0	0	2523-37-7	35.38
660	Hexene-	6	12	0	0	0	25264-93-1	-10.2
661	_2-3-6-Trimethylbenzoic-acid	10	12	2	0	0	2529-36-4	-88.72
662	_2-3-4-5-Tetramethylbenzoic-acid	11	14	2	0	0	2529-39-7	-95.29
663	Cyclopentane--1-3-dimethyl---cis-	7	14	0	0	0	2532-58-3	-31.93
664	Methyldinitramine	1	3	4	3	0	25346-05-8	10.3
665	Phthalazine	8	6	0	2	0	253-52-1	78.85
666	Quinazoline	8	6	0	2	0	253-82-7	58.1
667	_6-12-Methano-7H-benzocycloundecen-14-one-	16	16	1	0	0	25401-39-2	32.8
668	_6-19-Methanobenzocyclooctadecen-21-one-	23	30	1	0	0	25401-43-8	-38.2
669	c_-E--2-Butenoic-acid-3-methylbutyl-ester	9	16	2	0	0	25415-77-4	-106.8
670	Bicyclo-2-2-1-heptan-7-ol	7	12	1	0	0	2566-48-5	-52
671	Bicyclo-4-1-0-hept-2-ene	7	10	0	0	0	2566-57-6	28.5
672	Butane--1-1---methylenebis-oxy--bis-	9	20	2	0	0	2568-90-3	-119.8
673	Benzonitrile--2-4-6-trimethyl-	10	11	0	1	0	2571-52-0	25.43
674	_2-4-6-Trimethoxybenzonitrile	10	11	3	1	0	2571-54-2	-58.46
675	Octalene	14	12	0	0	0	257-55-6	131.8
676	_3-Heptyne	7	12	0	0	0	2586-89-2	19.78
677	c_-Z--2-Pentenenitrile	5	7	0	1	0	25899-50-7	27.48
678	_2-3-Diazabicyclo-2-2-2-oct-2-ene-2-oxide	6	10	1	2	0	25926-96-9	22.08
679	_6-7-Diazatricyclo-3-2-2-0-2-4--non-6-ene--oxide	7	10	1	2	0	25926-99-2	54.04
680	Biphenylene	12	8	0	0	0	259-79-0	99.71
681	_6-7-Benzoquinoline	13	9	0	1	0	260-36-6	58.2
682	_2-3-5-6-Tetramethylbenzoic-acid	11	14	2	0	0	2604-45-7	-95.63
683	Acridine	13	9	0	1	0	260-94-6	65.46
684	_1-3-5-Hexatriene---Z--	6	8	0	0	0	2612-46-6	41.1
685	Dibenzo-p-dioxin	12	8	2	0	0	262-12-4	-14.1
686	cis-2-Methyl-1-vinylcyclopropane	6	10	0	0	0	2628-57-1	24.6
687	c_-E--2-Pentenenitrile	5	7	0	1	0	26294-98-4	28.62
688	Furancarboxylic-acid	5	4	3	0	0	26447-28-9	-93.33
689	_1-Methyldiadamantane	15	22	0	0	0	26460-76-4	-39.85
690	_2-Cyclopentene-1-carbonitrile	6	7	0	1	0	26555-56-6	37.38
691	c_-1-1--Biphenyl--4-ol--3-5-bis-1-1-dimethylethyl--	20	26	1	0	0	2668-47-5	-37.48
693	Phenol--3-5-bis-1-methylethyl--	12	18	1	0	0	26886-05-5	-60.73
694	Hexacyclopropylethane	20	30	0	0	0	26902-55-6	111.5
695	_1H-Indazole	7	6	0	2	0	271-44-3	58.08
696	Bicyclo-2-2-2-octanone	8	12	1	0	0	2716-23-6	-52.2
697	_1-4-5-8-Tetramethylnaphthalene	14	16	0	0	0	2717-39-7	19.5
698	Benzofuran	8	6	1	0	0	271-89-6	3.3
699	Benzamide	7	7	1	1	0	27208-38-4	-24.12
700	_3-3-5-5-Tetramethyl-1-pyrazoline	7	14	0	2	0	2721-31-5	9.4
701	_2-3-Diazabicyclo-2-2-1--hept-2-ene	5	8	0	2	0	2721-32-6	46.8
702	Benzofurazan	6	4	1	2	0	273-09-6	71.75
703	Bicyclo-3-1-1-heptan-3-ol--2-6-6-trimethyl----1r--1--945--2--946--3--946--5--945----	10	18	1	0	0	2734-31-8	-44
704	Benzoxazole	7	5	1	1	0	273-53-0	10.79
705	Azulene	10	8	0	0	0	275-51-4	73.5
706	Cubane	8	8	0	0	0	277-10-1	142.7
707	_2-6-7-Trioxabicyclo-2-2-2-octane--1-4-dimethyl-	7	12	3	0	0	27761-61-1	-133.88
708	c_-Z--2-Pentenoic-acid-ethyl-ester	7	12	2	0	0	27805-84-1	-94.3
709	Quadricyclane	7	8	0	0	0	278-06-8	80.4
710	c_-Z--3-Pentenoic-acid-ethyl-ester	7	12	2	0	0	27829-70-5	-92.6
711	Bicyclo-4-2-0-octane	8	14	0	0	0	278-30-8	-6.1
712	Benzoic-acid--2-5-dimethoxy-	9	10	4	0	0	2785-98-0	-138.3
713	cis-2-3-Epoxybicyclo-2-2-1-heptane	7	10	1	0	0	278-74-0	-12.9
714	_2-6-Diphenyl-1-6-heptadiene	19	20	0	0	0	27905-65-3	61.9
715	Tricyclo--3-2-0-0-2-7--heptane	7	10	0	0	0	279-18-5	40.2
716	Nortricyclene	7	10	0	0	0	279-19-6	19
717	Norbornane	7	12	0	0	0	279-23-2	-13.13
718	Bicyclo-2-2-2-octane	8	14	0	0	0	280-33-1	-23.67
719	Triethylenediamine	6	12	0	2	0	280-57-9	21.6
720	Bicyclo-3-3-1-nonane	9	16	0	0	0	280-65-9	-30.5
721	_2-Octyne	8	14	0	0	0	2809-67-8	15.24
722	_2-4-Hexadiyne	6	6	0	0	0	2809-69-0	90.2
723	Anti-tricyclo-3-2-0-0-2-4--heptane	7	10	0	0	0	28102-61-6	56.2
724	Adamantane	10	16	0	0	0	281-23-2	-32.12
725	_2-4-10-Trioxatricyclo--3-3-1-1-3-7--decane	7	10	3	0	0	281-32-3	-119.32
726	c_-Z--5-Ethylidene-bicyclo-2-2-1-hept-2-ene	9	12	0	0	0	28304-66-7	35.07
727	trans-5-Ethylidene-bicyclo-2-2-1-hept-2-ene	9	12	0	0	0	28304-67-8	35.94
728	_3-Azabicyclo-3-2-2-nonane	8	15	0	1	0	283-24-9	-10.44
729	_3-Oxabicyclo-3-2-2-nonane	8	14	1	0	0	283-27-2	-53.2
730	Bicyclo-3-3-2-decane	10	18	0	0	0	283-50-1	-25.3
731	Tricyclo-8-2-2-2-sup-4-7--sup---hexadecane	16	28	0	0	0	283-68-1	-36.4
732	_3-Methyldiadamantane	15	22	0	0	0	28375-86-2	-37.6
733	N-Nitrobis--2-2-dinitropropyl-amine	6	10	10	6	0	28464-24-6	-31.7
734	N-Nitroso-bis--2-2-dinitropropyl-amine	6	10	9	6	0	28464-26-8	-19.5
735	Bicyclo-3-1-0-hexane	6	10	0	0	0	285-58-5	9.3
736	cis-1-2-Epoxycyclopentane	5	8	1	0	0	285-67-6	-23.2
737	Bicyclo-4-1-0-heptane	7	12	0	0	0	286-08-8	0.4
738	Cyclohexene-oxide	6	10	1	0	0	286-20-4	-30
739	Tricyclo-4-2-0-0-sup-2-5--sup--octane--syn-	8	12	0	0	0	28636-10-4	56.2
740	Bicyclo-5-1-0-octane	8	14	0	0	0	286-43-1	-4
741	cis-1-2-Epoxycycloheptane	7	12	1	0	0	286-45-3	-36.4
742	cis-1-2-Epoxycyclooctane	8	14	1	0	0	286-62-4	-39.46
743	Cyclopropanecarboxylic-acid--methyl-ester	5	8	2	0	0	2868-37-3	-72.83
744	_1H-Cyclopropa-b-naphthalene	11	8	0	0	0	286-85-1	104
745	Tricyclo-4-1-0-0-sup-2-7--sup--heptane	7	10	0	0	0	287-13-8	45.7
746	Cyclopentane	5	10	0	0	0	287-92-3	-18.26
747	_1H-Pyrazole	3	4	0	2	0	288-13-1	42.4
748	Isoxazole	3	3	1	1	0	288-14-2	19.6
749	n-Nonylcyclopentane	14	28	0	0	0	2882-98-6	-64.85
750	N-Nonylcyclohexane	15	30	0	0	0	2883-02-5	-75.58
751	_1H-Imidazole	3	4	0	2	0	288-32-4	30.95
752	Oxazole	3	3	1	1	0	288-42-6	-3.71
753	_1-3-4-Oxadiazol-2-5H--one-5-5-dimethyl-	4	6	2	2	0	28873-61-2	-47.7
754	_1H-1-2-4-Triazole	2	3	0	3	0	288-88-0	46.1
755	_1H-Tetrazole	1	2	0	4	0	288-94-8	76.6
756	_3-Cyclobutene-1-2-dione--3-4-dihydroxy-	4	2	4	0	0	2892-51-5	-123
757	Pyridazine	4	4	0	2	0	289-80-5	66.53
758	Phenol--2--phenylmethyl--	13	12	1	0	0	28994-41-4	11.88
759	_1-3-Diazine	4	4	0	2	0	289-95-2	46.8
760	Pyrazine	4	4	0	2	0	290-37-9	46.86
761	_2-4-6-Trimethylbenzonitrile--N-oxide	10	11	1	1	0	2904-57-6	32.74
762	_1-3-5-Triazine	3	3	0	3	0	290-87-9	53.98
763	Tricyclo-10-2-2-25-8-octadeca-5-7-12-14-15-17-hexaene	18	20	0	0	0	2913-24-8	30.92
764	Cyclobutanol	4	8	1	0	0	2919-23-5	-34.6
765	Cyclooctane	8	16	0	0	0	292-64-8	-30.14
766	Oxirane----phenylmethoxy-methyl--	10	12	2	0	0	2930-05-4	-32.98
767	_1-3-5-7-Tetroxane	4	8	4	0	0	293-30-1	-148.24
768	Phenol--2-4-bis-1-methylethyl--	12	18	1	0	0	2934-05-6	-60.73
769	Phenol--2-4-6-tris-1-methylethyl--	15	24	1	0	0	2934-07-8	-79.59
770	trans-Bicyclo-3-3-0--octan-2-one	8	12	1	0	0	29365-79-5	-49.4
771	Bicyclo-3-3-3-undecane	11	20	0	0	0	29415-95-0	-21.2
772	Propen-2-ol	3	6	1	0	0	29456-04-0	-42.1
773	_12-Crown-4	8	16	4	0	0	294-93-9	-150.8
774	Cyclotetradecane	14	28	0	0	0	295-17-0	-57.18
775	_2-Methylene-bicyclo-2-2-2--octane	9	14	0	0	0	2972-20-5	-2.21
776	_1--Methylene--2-phenylcyclopropane	10	10	0	0	0	29817-09-2	69.9
777	_2-4-Heptanedione--6-methyl-	8	14	2	0	0	3002-23-1	-109.1
778	_2-4-Hexanedione	6	10	2	0	0	3002-24-2	-105.1
779	Bicyclo-2-2-2-oct-5-ene-2-carbonitrile---1--945--2--946--4--945---	9	11	0	1	0	3008-13-7	36.6
780	Bicyclo-2-2-2-oct-5-ene-2-carbonitrile---1--945--2--945--4--945---	9	11	0	1	0	3008-14-8	36.2
781	Isoxazole--3-5-dimethyl-	5	7	1	1	0	300-87-8	-4.3
782	_2--Diethylamino-acetonitrile	6	12	0	2	0	3010-02-4	15.8
783	_1-Piperidineacetonitrile	7	12	0	2	0	3010-03-5	19.8
784	Terephthalamide	8	8	2	2	0	3010-82-0	-69.7
785	Meso-1-2-6-7-cyclodecatetraene	10	12	0	0	0	30154-99-5	86.1
786	Hydrazine	0	4	0	2	0	302-01-2	22.79
787	Methyl-peroxide	1	4	2	0	0	3031-73-0	-31.31
788	Ethyl-hydroperoxide	2	6	2	0	0	3031-74-1	-50
789	Hydroperoxide--1-methylethyl	3	8	2	0	0	3031-75-2	-47.11
790	_1-Cyclopentene-1-carbonitrile	6	7	0	1	0	3047-38-9	33.9
791	Phenazine--5-oxide	12	8	1	2	0	304-81-4	71.1
792	Bicyclo-2-2-1-hept-2-ene--5-ethenyl-	9	12	0	0	0	3048-64-4	38
793	Diamantan-1-ol	14	20	1	0	0	30545-14-3	-74.3
794	Diamantan-3-ol	14	20	1	0	0	30545-24-5	-71.1
795	_4-Methyldiadamantane	15	22	0	0	0	30545-28-9	-43.53
796	Diamantan-4-ol	14	20	1	0	0	30651-03-7	-75.8
797	Bicyclo-2-2-0-hex-1-4--ene	6	8	0	0	0	30830-20-7	72.6
798	_3-Methylisoxazole	4	5	1	1	0	30842-90-1	8.52
799	_1-Methylcyclopropene	4	6	0	0	0	3100-04-7	58.2
800	Oxirane---propoxymethyl--	6	12	2	0	0	3126-95-2	-65.15
801	Bicyclo-2-1-0-pentane-1-carbonitrile	6	7	0	1	0	31357-71-8	65.02
802	Bicyclo-3-1-0-hexane-1-carbonitrile	7	9	0	1	0	31357-72-9	33.95
803	_7-Methylenebicyclo-2-2-1--heptane	8	12	0	0	0	31463-35-1	14.4
804	_3-Oxatricyclo-3-2-1-02-4-octane---1--945--2--946--4--946--5--945---	7	10	1	0	0	3146-39-2	-12.9
805	Oxalic-acid-diphenyl-ester	14	10	4	0	0	3155-16-6	-104.5
806	Trispiro-2-0-2-0-2-0-nonane	9	12	0	0	0	31561-59-8	101.2
807	_3-9-Dimethylbenz-a-anthracene	20	16	0	0	0	316-51-8	45.1
808	Ethynol	2	2	1	0	0	32038-79-2	9.94
809	_3-Methylene-1-4-cyclohexadiene	7	8	0	0	0	3217-87-6	35
810	Cyclopropane--tris-methylene--	6	6	0	0	0	3227-90-5	94.6
811	Phenol--3-methyl-2--1-methylethyl--	10	14	1	0	0	3228-01-1	-41
812	_3-Methyl-4-isopropylphenol	10	14	1	0	0	3228-02-2	-44
813	Phenol--3-methyl-5--1-methylethyl--	10	14	1	0	0	3228-03-3	-50.22
814	_2-Isopropyl-6-methylphenol	10	14	1	0	0	3228-04-4	-45.42
815	Tert-butyl-phenylacetylenyl-ketone	13	14	1	0	0	32398-67-7	15.4
816	c_-E--2-Butenoic-acid-tert-butyl-ester	8	14	2	0	0	3246-27-3	-101.3
817	Butyl-1-1-dimethylpropyl-ether	9	20	1	0	0	3249-47-6	-91.35
818	_1-1-1-Pentanetricarboxylic-acid--triethyl-ester	14	24	6	0	0	3272-32-0	-301.6
819	_2-2-Diacetoxypropane	7	12	4	0	0	32786-47-3	-199.3
820	o-Xylylene	8	8	0	0	0	32796-95-5	53
821	_2-1H--Pyridinone--6-methyl-	6	7	1	1	0	3279-76-3	-28.75
822	_1H-Indene--octahydro---trans-	9	16	0	0	0	3296-50-2	-31.45
823	Butane--2--1-1-dimethylethoxy--	8	18	1	0	0	32970-45-9	-90.82
824	Propane--1--1-1-dimethylethoxy--2-methyl-	8	18	1	0	0	33021-02-2	-88
825	_15-Crown-5	10	20	5	0	0	33100-27-5	-191.1
826	_4-Nitrocatechol	6	5	4	1	0	3316-09-4	-69.31
827	Ethanone--2--dimethylamino--1-phenyl-	10	13	1	1	0	3319-03-7	-11.1
828	Ethyl-N-N-dimethylglycinate	6	13	2	1	0	33229-89-9	-97.31
829	Tetramethylbutanedinitrile	8	12	0	2	0	3333-52-6	24.05
830	t-Butylperoxymethyloxirane	7	14	3	0	0	33415-52-0	-63.38
831	Decanoic-acid	10	20	2	0	0	334-48-5	-149.2
832	Dispiro-2-0-2-1-heptane	7	10	0	0	0	33475-22-8	72.37
833	Methane--diazo-	1	2	0	2	0	334-88-3	51.3
834	Cyclononanone	9	16	1	0	0	3350-30-9	-66.85
835	Azidocyclopentane	5	9	0	3	0	33670-50-7	52.77
836	_3-5-Diisopropylphenol	12	18	1	0	0	3374-41-2	-56.5
837	_2-Propanamine--2-methyl-N--phenylmethylene----N-oxide	11	15	1	1	0	3376-24-7	7.39
838	_1-3-Butadiene--2-3-di-tert-butyl--	12	22	0	0	0	3378-20-9	-16.97
839	Tricyclo-4-4-2-0-1-6--dodeca-2-4-diene	12	16	0	0	0	33930-87-9	37.61
840	_1-3-Butadiene--2-ethyl-	6	10	0	0	0	3404-63-5	15.2
841	Prop-1-en-1-2-dimethyl-1-ol	5	10	1	0	0	34454-78-9	-57.6
842	iso-decane	10	22	0	0	0	34464-38-5	-62.19
843	_1-2-6-7-Cyclodecatetraene	10	12	0	0	0	3451-55-6	85.11
844	_1-Nonyne	9	16	0	0	0	3452-09-3	14.88
845	_1-3-Diethoxypropane	7	16	2	0	0	3459-83-4	-104.3
846	_1a-7b-Dihydrocyclopropa-a-naphthalene	11	10	0	0	0	3463-79-4	57
847	Tricyclo-4-3-1-0-1-6--deca-2-4-diene	10	12	0	0	0	3463-81-8	45.5
848	Pentacyclo-18-2-2-2-9-12--0-4-15--0-6-17--hexacosa-4-6-17--9-11-15-20-22-23-25-nonane	26	26	0	0	0	35117-21-6	78
849	Hexane--2-2-5-trimethyl-	9	20	0	0	0	3522-94-9	-60.49
850	Azuleno-2-1-8-ija-azulene	16	10	0	0	0	3526-04-3	131.4
851	Nitrosobenzene-dimer	12	10	2	2	0	35506-28-6	78.5
852	Tri-t-butylmethane	13	28	0	0	0	35660-96-9	-56.2
853	_4-Oxatricyclo-5-1-0-0-3-5---octane--3-8-8-trimethyl----1--945--3--945--5--945--7--945---	10	16	1	0	0	35671-18-2	-23.4
854	N-Tert-butyl-alpha--4-nitrophenyl-nitrone	11	14	3	2	0	3585-88-4	2.65
855	Benzenamine--N---4-methoxyphenyl-methylene----N-oxide	14	13	2	1	0	3585-93-1	26.22
856	_2-Ethylpropenoic-acid	5	8	2	0	0	3586-58-1	-94
857	Phenol--2-5-bis-1-methylethyl--	12	18	1	0	0	35946-91-9	-60.73
858	_1H-Indene--6--1-1-dimethylethyl--2-3-dihydro-1-1-dimethyl-	15	22	0	0	0	3605-31-0	-24.9
859	Dispiro-2-2-2-2-deca-4-9-diene	10	12	0	0	0	36262-33-6	72.3
860	Tricyclo-3-2-1-0-sup-2-4--sup--oct-6-ene--1--945--2--945--4--945--5--945---	8	10	0	0	0	3635-94-7	57.1
861	Tricyclo-3-2-1-0-sup-2-4--sup--oct-6-ene--1--945--2--946--4--946--5--945---	8	10	0	0	0	3635-95-8	55.1
862	N-N--Bis-o-methoxyphenyl-terephthalamide	22	20	4	2	0	36360-34-6	-74.2
863	_1-Hydroxy-2-2-6-6-tetramethyl-4-piperidinol	9	19	2	1	0	3637-10-3	-82.52
864	_1-Hydroxy-2-2-6-6-tetramethyl-4-piperidinone	9	17	2	1	0	3637-11-4	-71.2
865	_1-3-Dioxane-2-4-6-trimethyl---2--945--4--945--6--946---	7	14	2	0	0	36402-73-0	-106.8
866	Octa-1-2-6-7-teraene	8	10	0	0	0	3642-10-2	88.1
867	_2-3-Divinylbutadiene	8	10	0	0	0	3642-21-5	61.8
868	_2-2--Bipyridine	10	8	0	2	0	366-18-7	64.03
869	_1-3-Dioxolane--2-methyl-2-phenyl-	10	12	2	0	0	3674-77-9	-62.6
870	Chrysene--5-6-dimethyl-	20	16	0	0	0	3697-27-6	62.7
871	Ethanamine--N-ethyl-N-hydroxy-	4	11	1	1	0	3710-84-7	-29.1
872	Crotonic-acid	4	6	2	0	0	3724-65-0	-88.07
873	c_-E--3-Pentenoic-acid-ethyl-ester	7	12	2	0	0	3724-66-1	-93.2
