ID	name	C	H	O	N	P	cas	experimental_enthalpy
1646	_1H-Pyrrole--1-methyl-	5	7	0	1	0	96-54-8	24.65
1647	Phenol--2-4-bis-1-1-dimethylethyl--	14	22	1	0	0	96-76-4	-69.4
1648	Propanoic-acid--2-methyl---2-methylpropyl-ester	8	16	2	0	0	97-85-8	-129.8
1649	_2-Furanmethanol--tetrahydro-	5	10	2	0	0	97-99-4	-88.2
1650	_2-Furanmethanol	5	6	2	0	0	98-00-0	-50.67
1651	_2-Furancarboxaldehyde	5	4	2	0	0	98-01-1	-35.76
1652	Benzene--tert-butyl-	10	14	0	0	0	98-06-6	-5.42
1653	_1-2-Benzenediol--4--1-1-dimethylethyl--	10	14	2	0	0	98-29-3	-89.56
1654	_4-Tert-butyltoluene	11	16	0	0	0	98-51-1	-13.6
1655	Phenol--p-tert-butyl-	10	14	1	0	0	98-54-4	-44.5
1656	Benzoic-acid--p-tert-butyl-	11	14	2	0	0	98-73-7	-95.24
1657	Benzene---1-methylethyl--	9	12	0	0	0	98-82-8	0.94
1658	c_--945--Methylstyrene	9	10	0	0	0	98-83-9	28.27
1659	Acetophenone	8	8	1	0	0	98-86-2	-20.71
1660	Benzene--nitro-	6	5	2	1	0	98-95-3	16.38
1661	Benzoic-acid--3-methyl-	8	8	2	0	0	99-04-7	-78.37
1662	Benzoic-acid--3-amino-	7	7	2	1	0	99-05-8	-69.15
1663	Benzoic-acid--3-hydroxy-	7	6	3	0	0	99-06-9	-112.1
1664	m-Nitroaniline	6	6	2	2	0	99-09-2	14.9
1665	Butane--2-methoxy-2-methyl-	6	14	1	0	0	994-05-8	-73.26
1666	Phenol--4--1-methylpropyl--	10	14	1	0	0	99-71-8	-45.48
1667	Ethylenetricarbonitrile	5	1	0	3	0	997-76-2	124.4
1668	Phenol--4--1-methylethyl--	9	12	1	0	0	99-89-8	-41.9
1669	Benzoic-acid--4-methyl-	8	8	2	0	0	99-94-5	-78.97
1670	Benzoic-acid--4-hydroxy-	7	6	3	0	0	99-96-7	-117.7
1671	Benzenamine--N-N-4-trimethyl-	9	13	0	1	0	99-97-8	16.5
1672	Benzene--1-methyl-4-nitro-	7	7	2	1	0	99-99-0	7.38
1673	exo-5-Ethenyl-2-norbornene	9	12	0	0	0		38
1674	Butyl-2-butenoate---E-	8	14	2	0	0		-99.4
1675	_5-Ethylidene-2-norbornene--cis	9	12	0	0	0		35.07
1676	Bicyclo-2-2-1-hept-2-ene--5-ethylidene---trans	9	12	0	0	0		35.07
1677	_1-3-5-trans-Trimethylcyclohexane	9	18	0	0	0		-49.37
1678	_3-Menthene	10	18	0	0	0		-26.58
1679	Diisopropyl-ether	6	14	1	0	0	108-20-3	-76.1
